id,loss
4,1645.1921
6,1818.6345
9,7959.1357
12,4913.363
15,921.8778
17,2051.2908
21,1702.8818
28,1091.4836
32,2281.3506
43,3215.214
46,2438.2678
50,1173.729
54,1176.8394
62,1776.1409
70,1804.5007
71,4366.39
75,1957.4478
77,2154.8894
81,2342.2188
83,2414.9133
87,1717.5681
97,1965.6
103,1443.58
119,1252.7462
120,1680.7722
127,1266.9626
138,3311.2927
141,2310.143
148,1382.52
150,2244.8552
151,2112.0999
158,1629.0564
160,6051.4062
165,2207.856
168,3248.501
169,3132.6152
177,2577.5884
178,4135.8965
184,1683.3638
194,6013.2993
198,1407.1504
203,4247.8164
211,2195.1895
217,1131.4359
219,1414.2417
221,3597.6562
227,2021.2814
230,1358.3623
235,1675.5469
240,952.2314
243,2591.254
249,6422.9053
253,2788.2644
258,1382.5214
261,1601.3618
263,3072.9421
264,2774.8325
265,5095.863
268,1422.2074
271,1569.197
274,5431.9517
275,838.89716
279,2019.449
282,1307.8213
286,2739.534
288,1471.4983
294,2498.482
296,1183.2089
297,1539.5308
300,916.9409
303,7830.0483
314,1224.077
315,4824.1875
321,2190.6106
323,4266.61
330,3645.0457
341,1903.5884
342,3800.1614
352,1765.3307
353,3615.8796
360,5287.905
361,1840.7671
362,3821.52
366,1065.7511
372,3640.5435
376,2396.4985
377,1981.2725
379,1479.579
380,3812.8052
387,1538.122
392,2109.8079
394,8478.453
395,1508.2648
397,1534.3442
407,4954.889
411,5677.158
416,2347.6653
417,1635.9667
419,2388.0823
428,4745.289
431,2071.1711
436,6246.965
438,1280.7229
445,6519.965
446,6114.027
455,1437.9938
456,1193.5248
461,938.8431
463,1727.0034
464,3599.815
466,1559.0879
467,1466.292
470,1238.5103
475,1322.7965
482,2216.3745
490,2754.326
496,1709.6144
497,4250.515
508,2698.1973
510,1562.3058
512,2299.5132
513,2746.3142
523,2055.5598
531,4488.805
532,2038.6299
533,1478.0608
537,1159.1976
544,4287.4365
547,3134.3425
556,7378.92
565,1309.5255
566,1088.1909
571,1381.7173
573,1440.759
574,998.9506
581,2020.7224
585,1919.6056
589,2378.4092
597,1646.082
601,2867.8887
602,1526.8691
613,1673.0807
616,1325.0426
619,1710.2162
622,2399.514
623,2004.8479
629,1441.7487
634,1540.7762
638,961.8315
642,1067.0366
643,2090.956
645,1200.3057
648,5857.611
652,1675.8081
664,1037.165
666,2313.556
672,958.7617
676,1626.3182
678,4009.7837
682,1525.4224
686,2683.0938
688,2278.9934
689,1415.9941
690,1611.1272
692,8732.677
695,1587.5072
697,3253.4058
698,2005.8108
706,1916.231
708,1519.2211
712,3237.9106
715,3460.162
