id,loss
4,1.8998464
6,1.903836
9,1.9368968
12,1.918675
15,1.8771876
17,1.9045588
21,1.8809549
28,1.8883531
32,1.9095703
43,1.9195946
46,1.8980944
50,1.887522
54,1.8809549
62,1.894737
70,1.887522
71,1.9050379
75,1.8984834
77,1.9069108
81,1.8984834
83,1.9045643
87,1.8984834
97,1.8957076
103,1.8920071
119,1.8771876
120,1.895767
127,1.8933748
138,1.9144195
141,1.8933748
148,1.887522
150,1.9021415
151,1.9012198
158,1.8933748
160,1.9368968
165,1.894737
168,1.9171454
169,1.9101183
177,1.9127667
178,1.9136351
184,1.8980944
194,1.9473723
198,1.8809549
203,1.9127624
211,1.9053166
217,1.8809549
219,1.8883531
221,1.8980944
227,1.8883531
230,1.8933748
235,1.8962843
240,1.8771876
243,1.9117488
249,1.9187422
253,1.9224259
258,1.8920071
261,1.8933748
263,1.9141555
264,1.8984834
265,1.92697
268,1.887522
271,1.898677
274,1.9195946
275,1.8771876
279,1.8984834
282,1.887522
286,1.9183197
288,1.8920071
294,1.9100299
296,1.8809549
297,1.9117488
300,1.8771876
303,1.9418272
314,1.8920071
315,1.931839
321,1.9012198
323,1.9127624
330,1.9192235
341,1.8999954
342,1.9228865
352,1.8998464
353,1.918675
360,1.8999954
361,1.8984834
362,1.918675
366,1.8771876
372,1.9224259
376,1.9085394
377,1.903836
379,1.894737
380,1.92697
387,1.887522
392,1.9095703
394,1.9281268
395,1.894737
397,1.8920071
407,1.9242766
411,1.9253564
416,1.9100299
417,1.8922051
419,1.9134262
428,1.9240083
431,1.903622
436,1.9251833
438,1.8771876
445,1.9302078
446,1.9113806
455,1.8922051
456,1.887522
461,1.8771876
463,1.8998464
464,1.922615
466,1.9045643
467,1.8920071
470,1.8809549
475,1.895767
482,1.903836
490,1.9113806
496,1.8883531
497,1.919893
508,1.9100523
510,1.8771876
512,1.9069707
513,1.9050379
523,1.9012198
531,1.923767
532,1.8920071
533,1.8962843
537,1.8809549
544,1.9272683
547,1.9133593
556,1.9195946
565,1.8934773
566,1.8771876
571,1.9053166
573,1.9085394
574,1.8771876
581,1.887522
585,1.894737
589,1.9090686
597,1.9050459
601,1.887522
602,1.8771876
613,1.8920071
616,1.8771876
619,1.8934773
622,1.8988249
623,1.9133593
629,1.887522
634,1.8933748
638,1.8809549
642,1.8771876
643,1.8998464
645,1.887522
648,1.9127624
652,1.8933748
664,1.887522
666,1.9035382
672,1.8809549
676,1.8886011
678,1.9133593
682,1.8920071
686,1.9137247
688,1.9031721
689,1.8920071
690,1.8933748
692,1.923767
695,1.8933748
697,1.9127624
698,1.9077542
706,1.8995194
708,1.8933748
712,1.9116961
715,1.9171882
717,1.8771876
725,1.9224259
729,1.887522
737,1.8809549
739,1.9274731
747,1.922615
753,1.9100299
758,1.9229625
759,1.8920071
763,1.887522
773,1.9071679
774,1.9117488
776,1.9127667
788,1.922369
790,1.9108845
794,1.8933748
801,1.9116046
802,1.8970301
805,1.8809549
809,1.9150873
812,1.8962843
825,1.9095759
828,1.8962843
830,1.9052566
833,1.8771876
850,1.9223815
852,1.925343
862,1.887522
863,1.894737
864,1.9021415
865,1.9183197
868,1.9303983
872,1.887522
879,1.9233307
880,1.887522
883,1.8771876
886,1.887522
923,1.9056252
924,1.8920071
932,1.8962843
945,1.9113806
947,1.9281268
948,1.8920071
955,1.9082948
963,1.9367424
979,1.8809549
989,1.8809549
994,1.9224259
995,1.8922051
998,1.9000301
1000,1.9109968
1018,1.8933748
1019,1.9045643
1028,1.9113533
1034,1.887522
1038,1.9021415
1040,1.8883531
1042,1.8771876
1057,1.9303983
1058,1.8980944
1063,1.887522
1066,1.9117488
1071,1.9229625
1073,1.9180913
1074,1.9117488
1077,1.9093437
1080,1.931839
1088,1.887522
1096,1.8809549
1097,1.9322203
1105,1.908328
1115,1.8883531
1116,1.895767
1122,1.9026046
1130,1.9223815
1133,1.8771876
1137,1.9134916
1140,1.9052566
1143,1.936933
1149,1.9267803
1150,1.8771876
1153,1.8809549
1157,1.8933748
1180,1.8771876
1183,1.8809549
1188,1.9013335
1193,1.8809549
1200,1.8809549
1209,1.9113806
1214,1.9108845
1219,1.9056252
1223,1.9253564
1227,1.8771876
1228,1.8962843
1229,1.9113806
1233,1.8771876
1238,1.9117488
1239,1.887522
1241,1.9229625
1243,1.8933748
1244,1.887522
1245,1.9281268
1277,1.923767
1279,1.9267803
1292,1.9303983
1293,1.8933748
1299,1.9303983
1304,1.922787
1313,1.9062233
1328,1.8988249
1330,1.8809549
1334,1.8920071
1335,1.887522
1336,1.9274731
1341,1.8809549
1344,1.887522
1351,1.8809549
1352,1.8922051
1354,1.887522
1368,1.922787
1373,1.887522
1375,1.8771876
1381,1.8920071
1384,1.887522
1385,1.9035382
1388,1.9267803
1401,1.9141555
1402,1.9100299
